date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,home_scored_last10,home_conceded_last10,away_scored_last10,away_conceded_last10
2014-10-13,Morocco,Kenya,3.0,0.0,Friendly,Marrakech,Morocco,False,1573.7033889502818,1213.6040697740716,13.0,9.0,8.0,3.0
2014-10-13,Norway,Bulgaria,2.0,1.0,UEFA Euro qualification,Oslo,Norway,False,1494.602612094376,1459.974284812176,8.0,15.0,10.0,12.0
2014-10-13,Oman,Uruguay,0.0,3.0,Friendly,Muscat,Oman,False,1671.762181547237,1993.9210963580733,8.0,8.0,12.0,8.0
2014-10-13,Wales,Cyprus,2.0,1.0,UEFA Euro qualification,Cardiff,Wales,False,1290.9620066429432,920.7892484924143,9.0,11.0,3.0,13.0
2014-10-13,Latvia,Turkey,1.0,1.0,UEFA Euro qualification,Riga,Latvia,False,956.7735879414398,1677.6209714824943,6.0,13.0,17.0,14.0
2014-10-14,Armenia,France,0.0,3.0,Friendly,Yerevan,Armenia,False,1018.1328706344719,2171.070765636019,12.0,23.0,23.0,6.0
2014-10-14,Bahrain,Iraq,0.0,0.0,Friendly,Riffa,Bahrain,False,1518.3154962060005,1544.851902453033,5.0,2.0,10.0,9.0
2014-10-14,Myanmar,Timor-Leste,0.0,0.0,AFF Championship qualification,Vientiane,Laos,True,1101.4725848652379,813.9215183898834,16.0,16.0,16.0,28.0
2014-10-14,China,Paraguay,2.0,1.0,Friendly,Changsha,China,False,1733.2436600920312,1590.9729554141422,13.0,9.0,15.0,17.0
2014-10-14,Germany,Republic of Ireland,1.0,1.0,UEFA Euro qualification,Gelsenkirchen,Germany,False,2387.8873224941717,1714.716434324182,22.0,11.0,18.0,11.0
2014-10-14,Faroe Islands,Hungary,0.0,1.0,UEFA Euro qualification,Tórshavn,Faroe Islands,False,471.19169223923774,1464.27149386646,9.0,21.0,17.0,19.0
2014-10-14,Gibraltar,Georgia,0.0,3.0,UEFA Euro qualification,Faro,Portugal,True,1408.3194170918323,1018.4938531534718,15.0,27.0,6.0,10.0
2014-10-14,Denmark,Portugal,0.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,1709.4547919753195,2037.9188920909642,18.0,10.0,19.0,14.0
2014-10-14,Japan,Brazil,0.0,4.0,Friendly,Kallang,Singapore,True,1995.0308493825594,2563.9771601753646,17.0,16.0,15.0,14.0
2014-10-14,Finland,Romania,0.0,2.0,UEFA Euro qualification,Helsinki,Finland,False,1455.790237806043,1700.124744381391,12.0,10.0,12.0,9.0
2014-10-14,Hong Kong,Argentina,0.0,7.0,Friendly,So Kon Po,Hong Kong,False,1094.83512836121,2329.0438065927,5.0,18.0,14.0,8.0
2014-10-14,Saudi Arabia,Lebanon,1.0,1.0,Friendly,Jeddah,Saudi Arabia,False,1590.7527917250154,1115.2937029872742,9.0,15.0,11.0,17.0
2014-10-14,South Korea,Costa Rica,1.0,3.0,Friendly,Seoul,South Korea,False,1816.2793265189362,1725.6369643681523,10.0,15.0,16.0,11.0
2014-10-14,Greece,Northern Ireland,0.0,2.0,UEFA Euro qualification,Piraeus,Greece,False,1822.1957498658755,985.8323381803409,6.0,10.0,10.0,13.0
2014-10-14,Macau,Singapore,2.0,2.0,Friendly,Taipa,Macau,False,523.2680325988996,1194.1725219087161,4.0,22.0,9.0,15.0
2014-10-14,Poland,Scotland,2.0,2.0,UEFA Euro qualification,Warsaw,Poland,False,1710.383049316188,1526.494219928632,15.0,6.0,12.0,10.0
2014-10-14,Qatar,Australia,1.0,0.0,Friendly,Doha,Qatar,False,1575.1779674371242,1841.2949692659524,19.0,5.0,11.0,19.0
2014-10-14,San Marino,Switzerland,0.0,4.0,UEFA Euro qualification,Serravalle,San Marino,False,251.81995168875935,1784.5692020416313,1.0,52.0,13.0,14.0
