exp,model,config,split,RPS,log_loss,Brier,acc
2_mlp_sweep,MLP,lr0.001 d1 w256 do0.0,val,0.1876896799594421,0.950037411266032,0.5629122725779427,0.5572289156626506
2_mlp_sweep,MLP,lr0.001 d1 w256 do0.2,val,0.1874590401352903,0.948991926064883,0.5625287082343821,0.5602409638554217
2_mlp_sweep,MLP,lr0.001 d2 w64 do0.0,val,0.1899683198332936,0.957856706715242,0.5685937315903421,0.5421686746987951
2_mlp_sweep,MLP,lr0.001 d2 w64 do0.2,val,0.1891045850340608,0.9535146712993948,0.5659121677252106,0.5451807228915663
2_mlp_sweep,MLP,lr0.001 d2 w128 do0.0,val,0.1870696346584364,0.9439970791546723,0.5608703665664369,0.5481927710843374
2_mlp_sweep,MLP,lr0.001 d2 w128 do0.2,val,0.1873984142139312,0.9455619234119432,0.5620170407028183,0.5512048192771084
2_mlp_sweep,MLP,lr0.001 d2 w256 do0.0,val,0.187626052513348,0.9483859076660618,0.5618294674383443,0.5451807228915663
2_mlp_sweep,MLP,lr0.001 d2 w256 do0.2,val,0.1874633916356732,0.9484140358143848,0.5617581216288966,0.5542168674698795
2_mlp_sweep,MLP,lr0.001 d3 w64 do0.0,val,0.1875156746228181,0.9460538497902744,0.5617722365287351,0.5572289156626506
2_mlp_sweep,MLP,lr0.001 d3 w64 do0.2,val,0.1872487216227238,0.946060053320608,0.561344782923645,0.5572289156626506
2_mlp_sweep,MLP,lr0.001 d3 w128 do0.0,val,0.1874776202374961,0.9478043882051146,0.5622663505229057,0.5542168674698795
2_mlp_sweep,MLP,lr0.001 d3 w128 do0.2,val,0.1876607293848105,0.9480302321539976,0.5627384179379892,0.5572289156626506
2_mlp_sweep,MLP,lr0.001 d3 w256 do0.0,val,0.1879667581353757,0.949169799831314,0.5639243093532473,0.5481927710843374
2_mlp_sweep,MLP,lr0.001 d3 w256 do0.2,val,0.1870695478305017,0.9461584392947212,0.561470536243844,0.5632530120481928
2_mlp_sweep,MLP,lr0.003 d1 w64 do0.0,val,0.1882688607402667,0.9526185514980158,0.5649644437623739,0.5451807228915663
2_mlp_sweep,MLP,lr0.003 d1 w64 do0.2,val,0.1879477099553209,0.9497762037300336,0.5630938670349394,0.5481927710843374
2_mlp_sweep,MLP,lr0.003 d1 w128 do0.0,val,0.1883404025651263,0.951374497072398,0.5647122944078196,0.5331325301204819
2_mlp_sweep,MLP,lr0.003 d1 w128 do0.2,val,0.1883440161666388,0.9520972345048614,0.5648791113104701,0.5391566265060241
2_mlp_sweep,MLP,lr0.003 d1 w256 do0.0,val,0.1889452369247576,0.9544510488116316,0.5656888852515889,0.5451807228915663
2_mlp_sweep,MLP,lr0.003 d1 w256 do0.2,val,0.1886601350571601,0.9510379077579346,0.5641089531578423,0.5451807228915663
2_mlp_sweep,MLP,lr0.003 d2 w64 do0.0,val,0.1887831809088419,0.952856892387874,0.5655769355319835,0.5512048192771084
2_mlp_sweep,MLP,lr0.003 d2 w64 do0.2,val,0.1888439644343788,0.9539549617456228,0.5653976827958931,0.5391566265060241
2_mlp_sweep,MLP,lr0.003 d2 w128 do0.0,val,0.1870587827609543,0.9446974825733516,0.5613638503008527,0.5572289156626506
2_mlp_sweep,MLP,lr0.003 d2 w128 do0.2,val,0.1871099975270691,0.9437358681472824,0.5610529656229504,0.5512048192771084
2_mlp_sweep,MLP,lr0.003 d2 w256 do0.0,val,0.1891754824784086,0.9566430218069434,0.5671340419657012,0.5451807228915663
2_mlp_sweep,MLP,lr0.003 d2 w256 do0.2,val,0.1888724992702999,0.954532993466156,0.5656549811341286,0.536144578313253
2_mlp_sweep,MLP,lr0.003 d3 w64 do0.0,val,0.1867348506577084,0.9435992229245376,0.559950874487174,0.5572289156626506
2_mlp_sweep,MLP,lr0.003 d3 w64 do0.2,val,0.187385151138623,0.9460178191766448,0.561475395066373,0.5572289156626506
2_mlp_sweep,MLP,lr0.003 d3 w128 do0.0,val,0.1880766406296232,0.9484606936815668,0.5633459628432128,0.5542168674698795
2_mlp_sweep,MLP,lr0.003 d3 w128 do0.2,val,0.1890778294527594,0.956022588984452,0.5671211889608108,0.5542168674698795
2_mlp_sweep,MLP,lr0.003 d3 w256 do0.0,val,0.1887825494427837,0.9521144584273062,0.5643913734545634,0.5451807228915663
2_mlp_sweep,MLP,lr0.003 d3 w256 do0.2,val,0.1890763062037171,0.9516577323542088,0.5657174035419259,0.5481927710843374
2_mlp_sweep,"MLP (best, clip OFF)",lr0.0005 d3 w256 do0.0,val,0.1865811618513736,0.9448372304208232,0.5603184355643741,0.5512048192771084
3_linear_ridge,Linear,alpha=0,val,0.1881771844468764,0.9520094063591942,0.5627946597616872,0.5451807228915663
3_linear_ridge,Linear,alpha=10,val,0.1879583313856898,0.9509298661491384,0.5624420786474493,0.5421686746987951
3_linear_ridge,Linear,alpha=100,val,0.1884040124537492,0.9519795123613024,0.5634485382444628,0.5421686746987951
