model,match_id,match,is_wc,outcome,action,model_p,implied,diff,hit,pnl
M3 NegBin+Frank,26JUN03PANDOM,Panama vs Dominican Republic,False,away,SELL,0.0587,0.098,-0.0393,0.0,0.098
M5 NegBin+Frank (calib 1X2+O/U),26JUN03PANDOM,Panama vs Dominican Republic,False,home,BUY,0.7777,0.7255,0.0522,1.0,0.2745
M5 NegBin+Frank (calib 1X2+O/U),26JUN03PANDOM,Panama vs Dominican Republic,False,draw,SELL,0.1319,0.1765,-0.0445,0.0,0.1765
M1 Poisson+DC,26JUN04CAMBHU,Cambodia vs Bhutan,False,home,SELL,0.7862,0.98,-0.1938,1.0,-0.02
M1 Poisson+DC,26JUN04CAMBHU,Cambodia vs Bhutan,False,draw,BUY,0.1565,0.01,0.1465,0.0,-0.01
M1 Poisson+DC,26JUN04CAMBHU,Cambodia vs Bhutan,False,away,BUY,0.0573,0.01,0.0473,0.0,-0.01
M2 NegBin+DC,26JUN04CAMBHU,Cambodia vs Bhutan,False,home,SELL,0.7848,0.98,-0.1952,1.0,-0.02
M2 NegBin+DC,26JUN04CAMBHU,Cambodia vs Bhutan,False,draw,BUY,0.1574,0.01,0.1474,0.0,-0.01
M2 NegBin+DC,26JUN04CAMBHU,Cambodia vs Bhutan,False,away,BUY,0.0578,0.01,0.0478,0.0,-0.01
M3 NegBin+Frank,26JUN04CAMBHU,Cambodia vs Bhutan,False,home,SELL,0.8071,0.98,-0.1729,1.0,-0.02
M3 NegBin+Frank,26JUN04CAMBHU,Cambodia vs Bhutan,False,draw,BUY,0.147,0.01,0.137,0.0,-0.01
M3 NegBin+Frank,26JUN04CAMBHU,Cambodia vs Bhutan,False,away,BUY,0.0459,0.01,0.0359,0.0,-0.01
M1 Poisson+DC,26JUN04LESKEN,Lesotho vs Kenya,False,home,BUY,0.296,0.03,0.266,0.0,-0.03
M1 Poisson+DC,26JUN04LESKEN,Lesotho vs Kenya,False,draw,BUY,0.3336,0.15,0.1836,1.0,0.85
M1 Poisson+DC,26JUN04LESKEN,Lesotho vs Kenya,False,away,SELL,0.3704,0.82,-0.4496,0.0,0.82
M2 NegBin+DC,26JUN04LESKEN,Lesotho vs Kenya,False,home,BUY,0.2957,0.03,0.2657,0.0,-0.03
M2 NegBin+DC,26JUN04LESKEN,Lesotho vs Kenya,False,draw,BUY,0.3338,0.15,0.1838,1.0,0.85
M2 NegBin+DC,26JUN04LESKEN,Lesotho vs Kenya,False,away,SELL,0.3705,0.82,-0.4495,0.0,0.82
M3 NegBin+Frank,26JUN04LESKEN,Lesotho vs Kenya,False,home,BUY,0.2819,0.03,0.2519,0.0,-0.03
M3 NegBin+Frank,26JUN04LESKEN,Lesotho vs Kenya,False,draw,BUY,0.3432,0.15,0.1932,1.0,0.85
M3 NegBin+Frank,26JUN04LESKEN,Lesotho vs Kenya,False,away,SELL,0.3749,0.82,-0.4451,0.0,0.82
M5 NegBin+Frank (calib 1X2+O/U),26JUN04LESKEN,Lesotho vs Kenya,False,draw,BUY,0.1844,0.15,0.0344,1.0,0.85
M1 Poisson+DC,26JUN04SLOCYP,Slovenia vs Cyprus,False,home,BUY,0.7186,0.2549,0.4637,0.0,-0.2549
M1 Poisson+DC,26JUN04SLOCYP,Slovenia vs Cyprus,False,draw,SELL,0.1949,0.3235,-0.1286,1.0,-0.6765
M1 Poisson+DC,26JUN04SLOCYP,Slovenia vs Cyprus,False,away,SELL,0.0865,0.4216,-0.335,0.0,0.4216
M2 NegBin+DC,26JUN04SLOCYP,Slovenia vs Cyprus,False,home,BUY,0.718,0.2549,0.4631,0.0,-0.2549
M2 NegBin+DC,26JUN04SLOCYP,Slovenia vs Cyprus,False,draw,SELL,0.1951,0.3235,-0.1285,1.0,-0.6765
M2 NegBin+DC,26JUN04SLOCYP,Slovenia vs Cyprus,False,away,SELL,0.0869,0.4216,-0.3347,0.0,0.4216
M3 NegBin+Frank,26JUN04SLOCYP,Slovenia vs Cyprus,False,home,BUY,0.7387,0.2549,0.4838,0.0,-0.2549
M3 NegBin+Frank,26JUN04SLOCYP,Slovenia vs Cyprus,False,draw,SELL,0.1863,0.3235,-0.1372,1.0,-0.6765
M3 NegBin+Frank,26JUN04SLOCYP,Slovenia vs Cyprus,False,away,SELL,0.075,0.4216,-0.3466,0.0,0.4216
M5 NegBin+Frank (calib 1X2+O/U),26JUN04SLOCYP,Slovenia vs Cyprus,False,home,SELL,0.234,0.2549,-0.0209,0.0,0.2549
M5 NegBin+Frank (calib 1X2+O/U),26JUN04SLOCYP,Slovenia vs Cyprus,False,draw,BUY,0.3608,0.3235,0.0372,1.0,0.6765
M1 Poisson+DC,26JUN04NIRGUI,Northern Ireland vs Guinea,False,home,SELL,0.4161,0.68,-0.2639,1.0,-0.32
M1 Poisson+DC,26JUN04NIRGUI,Northern Ireland vs Guinea,False,draw,BUY,0.3387,0.25,0.0887,0.0,-0.25
M1 Poisson+DC,26JUN04NIRGUI,Northern Ireland vs Guinea,False,away,BUY,0.2451,0.07,0.1751,0.0,-0.07
M2 NegBin+DC,26JUN04NIRGUI,Northern Ireland vs Guinea,False,home,SELL,0.4166,0.68,-0.2634,1.0,-0.32
M2 NegBin+DC,26JUN04NIRGUI,Northern Ireland vs Guinea,False,draw,BUY,0.3385,0.25,0.0885,0.0,-0.25
M2 NegBin+DC,26JUN04NIRGUI,Northern Ireland vs Guinea,False,away,BUY,0.2449,0.07,0.1749,0.0,-0.07
M3 NegBin+Frank,26JUN04NIRGUI,Northern Ireland vs Guinea,False,home,SELL,0.4238,0.68,-0.2562,1.0,-0.32
M3 NegBin+Frank,26JUN04NIRGUI,Northern Ireland vs Guinea,False,draw,BUY,0.3458,0.25,0.0958,0.0,-0.25
M3 NegBin+Frank,26JUN04NIRGUI,Northern Ireland vs Guinea,False,away,BUY,0.2304,0.07,0.1604,0.0,-0.07
M5 NegBin+Frank (calib 1X2+O/U),26JUN04NIRGUI,Northern Ireland vs Guinea,False,home,SELL,0.4702,0.68,-0.2098,1.0,-0.32
M5 NegBin+Frank (calib 1X2+O/U),26JUN04NIRGUI,Northern Ireland vs Guinea,False,draw,BUY,0.5007,0.25,0.2507,0.0,-0.25
M5 NegBin+Frank (calib 1X2+O/U),26JUN04NIRGUI,Northern Ireland vs Guinea,False,away,SELL,0.0291,0.07,-0.0409,0.0,0.07
M1 Poisson+DC,26JUN04ANDLIE,Andorra vs Liechtenstein,False,home,SELL,0.344,0.5098,-0.1658,1.0,-0.4902
M1 Poisson+DC,26JUN04ANDLIE,Andorra vs Liechtenstein,False,draw,BUY,0.487,0.402,0.085,0.0,-0.402
M1 Poisson+DC,26JUN04ANDLIE,Andorra vs Liechtenstein,False,away,BUY,0.169,0.0882,0.0808,0.0,-0.0882
M2 NegBin+DC,26JUN04ANDLIE,Andorra vs Liechtenstein,False,home,SELL,0.3446,0.5098,-0.1652,1.0,-0.4902
M2 NegBin+DC,26JUN04ANDLIE,Andorra vs Liechtenstein,False,draw,BUY,0.4863,0.402,0.0843,0.0,-0.402
M2 NegBin+DC,26JUN04ANDLIE,Andorra vs Liechtenstein,False,away,BUY,0.1691,0.0882,0.0808,0.0,-0.0882
M3 NegBin+Frank,26JUN04ANDLIE,Andorra vs Liechtenstein,False,home,SELL,0.3445,0.5098,-0.1653,1.0,-0.4902
M3 NegBin+Frank,26JUN04ANDLIE,Andorra vs Liechtenstein,False,draw,BUY,0.5075,0.402,0.1055,0.0,-0.402
M3 NegBin+Frank,26JUN04ANDLIE,Andorra vs Liechtenstein,False,away,BUY,0.148,0.0882,0.0597,0.0,-0.0882
M5 NegBin+Frank (calib 1X2+O/U),26JUN04ANDLIE,Andorra vs Liechtenstein,False,home,BUY,0.5689,0.5098,0.0591,1.0,0.4902
M5 NegBin+Frank (calib 1X2+O/U),26JUN04ANDLIE,Andorra vs Liechtenstein,False,draw,SELL,0.316,0.402,-0.0859,0.0,0.402
M5 NegBin+Frank (calib 1X2+O/U),26JUN04ANDLIE,Andorra vs Liechtenstein,False,away,BUY,0.115,0.0882,0.0268,0.0,-0.0882
M1 Poisson+DC,26JUN04SWEGRE,Sweden vs Greece,False,home,BUY,0.3817,0.1683,0.2134,0.0,-0.1683
M1 Poisson+DC,26JUN04SWEGRE,Sweden vs Greece,False,draw,SELL,0.245,0.2871,-0.0421,1.0,-0.7129
M1 Poisson+DC,26JUN04SWEGRE,Sweden vs Greece,False,away,SELL,0.3733,0.5446,-0.1713,0.0,0.5446
M2 NegBin+DC,26JUN04SWEGRE,Sweden vs Greece,False,home,BUY,0.3814,0.1683,0.213,0.0,-0.1683
M2 NegBin+DC,26JUN04SWEGRE,Sweden vs Greece,False,draw,SELL,0.2447,0.2871,-0.0425,1.0,-0.7129
M2 NegBin+DC,26JUN04SWEGRE,Sweden vs Greece,False,away,SELL,0.374,0.5446,-0.1706,0.0,0.5446
M3 NegBin+Frank,26JUN04SWEGRE,Sweden vs Greece,False,home,BUY,0.3805,0.1683,0.2122,0.0,-0.1683
M3 NegBin+Frank,26JUN04SWEGRE,Sweden vs Greece,False,draw,SELL,0.2511,0.2871,-0.036,1.0,-0.7129
M3 NegBin+Frank,26JUN04SWEGRE,Sweden vs Greece,False,away,SELL,0.3684,0.5446,-0.1762,0.0,0.5446
M5 NegBin+Frank (calib 1X2+O/U),26JUN04SWEGRE,Sweden vs Greece,False,home,BUY,0.1918,0.1683,0.0235,0.0,-0.1683
M5 NegBin+Frank (calib 1X2+O/U),26JUN04SWEGRE,Sweden vs Greece,False,draw,SELL,0.1638,0.2871,-0.1234,1.0,-0.7129
M5 NegBin+Frank (calib 1X2+O/U),26JUN04SWEGRE,Sweden vs Greece,False,away,BUY,0.6444,0.5446,0.0999,0.0,-0.5446
M1 Poisson+DC,26JUN04ESPIRQ,Spain vs Iraq,False,home,BUY,0.8983,0.802,0.0963,0.0,-0.802
M1 Poisson+DC,26JUN04ESPIRQ,Spain vs Iraq,False,draw,SELL,0.0816,0.1584,-0.0769,1.0,-0.8416
M2 NegBin+DC,26JUN04ESPIRQ,Spain vs Iraq,False,home,BUY,0.8964,0.802,0.0945,0.0,-0.802
M2 NegBin+DC,26JUN04ESPIRQ,Spain vs Iraq,False,draw,SELL,0.0829,0.1584,-0.0755,1.0,-0.8416
M3 NegBin+Frank,26JUN04ESPIRQ,Spain vs Iraq,False,home,BUY,0.9121,0.802,0.1101,0.0,-0.802
M3 NegBin+Frank,26JUN04ESPIRQ,Spain vs Iraq,False,draw,SELL,0.0712,0.1584,-0.0872,1.0,-0.8416
M3 NegBin+Frank,26JUN04ESPIRQ,Spain vs Iraq,False,away,SELL,0.0168,0.0396,-0.0228,0.0,0.0396
M5 NegBin+Frank (calib 1X2+O/U),26JUN04ESPIRQ,Spain vs Iraq,False,draw,BUY,0.1953,0.1584,0.0369,1.0,0.8416
M5 NegBin+Frank (calib 1X2+O/U),26JUN04ESPIRQ,Spain vs Iraq,False,away,SELL,0.0163,0.0396,-0.0233,0.0,0.0396
M1 Poisson+DC,26JUN04FRACIV,France vs Ivory Coast,False,home,SELL,0.6237,0.8911,-0.2674,0.0,0.8911
M1 Poisson+DC,26JUN04FRACIV,France vs Ivory Coast,False,draw,BUY,0.2504,0.0891,0.1613,0.0,-0.0891
M1 Poisson+DC,26JUN04FRACIV,France vs Ivory Coast,False,away,BUY,0.1259,0.0198,0.1061,1.0,0.9802
M2 NegBin+DC,26JUN04FRACIV,France vs Ivory Coast,False,home,SELL,0.6229,0.8911,-0.2682,0.0,0.8911
M2 NegBin+DC,26JUN04FRACIV,France vs Ivory Coast,False,draw,BUY,0.2506,0.0891,0.1615,0.0,-0.0891
M2 NegBin+DC,26JUN04FRACIV,France vs Ivory Coast,False,away,BUY,0.1265,0.0198,0.1067,1.0,0.9802
M3 NegBin+Frank,26JUN04FRACIV,France vs Ivory Coast,False,home,SELL,0.645,0.8911,-0.2461,0.0,0.8911
M3 NegBin+Frank,26JUN04FRACIV,France vs Ivory Coast,False,draw,BUY,0.2438,0.0891,0.1547,0.0,-0.0891
M3 NegBin+Frank,26JUN04FRACIV,France vs Ivory Coast,False,away,BUY,0.1112,0.0198,0.0913,1.0,0.9802
M5 NegBin+Frank (calib 1X2+O/U),26JUN04FRACIV,France vs Ivory Coast,False,home,BUY,0.9586,0.8911,0.0675,0.0,-0.8911
M5 NegBin+Frank (calib 1X2+O/U),26JUN04FRACIV,France vs Ivory Coast,False,draw,SELL,0.0352,0.0891,-0.0539,0.0,0.0891
M1 Poisson+DC,26JUN04CZEGTM,Czechia vs Guatemala,False,home,BUY,0.8194,0.6436,0.1758,1.0,0.3564
M1 Poisson+DC,26JUN04CZEGTM,Czechia vs Guatemala,False,draw,SELL,0.1217,0.2673,-0.1457,0.0,0.2673
M1 Poisson+DC,26JUN04CZEGTM,Czechia vs Guatemala,False,away,SELL,0.059,0.0891,-0.0301,0.0,0.0891
M2 NegBin+DC,26JUN04CZEGTM,Czechia vs Guatemala,False,home,BUY,0.8172,0.6436,0.1737,1.0,0.3564
M2 NegBin+DC,26JUN04CZEGTM,Czechia vs Guatemala,False,draw,SELL,0.1227,0.2673,-0.1446,0.0,0.2673
M2 NegBin+DC,26JUN04CZEGTM,Czechia vs Guatemala,False,away,SELL,0.06,0.0891,-0.0291,0.0,0.0891
M3 NegBin+Frank,26JUN04CZEGTM,Czechia vs Guatemala,False,home,BUY,0.8306,0.6436,0.187,1.0,0.3564
M3 NegBin+Frank,26JUN04CZEGTM,Czechia vs Guatemala,False,draw,SELL,0.1155,0.2673,-0.1518,0.0,0.2673
M3 NegBin+Frank,26JUN04CZEGTM,Czechia vs Guatemala,False,away,SELL,0.0539,0.0891,-0.0352,0.0,0.0891
M1 Poisson+DC,26JUN04MEXSRB,Mexico vs Serbia,False,home,SELL,0.7197,0.898,-0.1783,1.0,-0.102
M1 Poisson+DC,26JUN04MEXSRB,Mexico vs Serbia,False,draw,BUY,0.195,0.0816,0.1134,0.0,-0.0816
M1 Poisson+DC,26JUN04MEXSRB,Mexico vs Serbia,False,away,BUY,0.0853,0.0204,0.0649,0.0,-0.0204
M2 NegBin+DC,26JUN04MEXSRB,Mexico vs Serbia,False,home,SELL,0.7191,0.898,-0.1789,1.0,-0.102
M2 NegBin+DC,26JUN04MEXSRB,Mexico vs Serbia,False,draw,BUY,0.1953,0.0816,0.1137,0.0,-0.0816
M2 NegBin+DC,26JUN04MEXSRB,Mexico vs Serbia,False,away,BUY,0.0856,0.0204,0.0652,0.0,-0.0204
M3 NegBin+Frank,26JUN04MEXSRB,Mexico vs Serbia,False,home,SELL,0.7533,0.898,-0.1447,1.0,-0.102
M3 NegBin+Frank,26JUN04MEXSRB,Mexico vs Serbia,False,draw,BUY,0.1765,0.0816,0.0949,0.0,-0.0816
M3 NegBin+Frank,26JUN04MEXSRB,Mexico vs Serbia,False,away,BUY,0.0702,0.0204,0.0498,0.0,-0.0204
M5 NegBin+Frank (calib 1X2+O/U),26JUN04MEXSRB,Mexico vs Serbia,False,home,SELL,0.7533,0.898,-0.1447,1.0,-0.102
M5 NegBin+Frank (calib 1X2+O/U),26JUN04MEXSRB,Mexico vs Serbia,False,draw,BUY,0.1765,0.0816,0.0949,0.0,-0.0816
M5 NegBin+Frank (calib 1X2+O/U),26JUN04MEXSRB,Mexico vs Serbia,False,away,BUY,0.0702,0.0204,0.0498,0.0,-0.0204
M1 Poisson+DC,26JUN05SINCHN,Singapore vs China PR,False,home,BUY,0.1035,0.0495,0.054,0.0,-0.0495
M1 Poisson+DC,26JUN05SINCHN,Singapore vs China PR,False,draw,BUY,0.184,0.1584,0.0256,0.0,-0.1584
M1 Poisson+DC,26JUN05SINCHN,Singapore vs China PR,False,away,SELL,0.7124,0.7921,-0.0797,1.0,-0.2079
M2 NegBin+DC,26JUN05SINCHN,Singapore vs China PR,False,home,BUY,0.1042,0.0495,0.0547,0.0,-0.0495
M2 NegBin+DC,26JUN05SINCHN,Singapore vs China PR,False,draw,BUY,0.1844,0.1584,0.026,0.0,-0.1584
M2 NegBin+DC,26JUN05SINCHN,Singapore vs China PR,False,away,SELL,0.7114,0.7921,-0.0807,1.0,-0.2079
M3 NegBin+Frank,26JUN05SINCHN,Singapore vs China PR,False,home,BUY,0.0941,0.0495,0.0446,0.0,-0.0495
M3 NegBin+Frank,26JUN05SINCHN,Singapore vs China PR,False,away,SELL,0.7292,0.7921,-0.0629,1.0,-0.2079
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SINCHN,Singapore vs China PR,False,draw,SELL,0.1344,0.1584,-0.024,0.0,0.1584
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SINCHN,Singapore vs China PR,False,away,BUY,0.832,0.7921,0.0399,1.0,0.2079
M5 NegBin+Frank (calib 1X2+O/U),26JUN05HKGMGL,Hong Kong vs Mongolia,False,home,SELL,0.8413,0.9216,-0.0803,1.0,-0.0784
M5 NegBin+Frank (calib 1X2+O/U),26JUN05HKGMGL,Hong Kong vs Mongolia,False,draw,BUY,0.1544,0.0588,0.0956,0.0,-0.0588
M1 Poisson+DC,26JUN05THAKUW,Thailand vs Kuwait,False,home,SELL,0.3439,0.4848,-0.141,0.0,0.4848
M1 Poisson+DC,26JUN05THAKUW,Thailand vs Kuwait,False,draw,SELL,0.2447,0.3434,-0.0988,1.0,-0.6566
M1 Poisson+DC,26JUN05THAKUW,Thailand vs Kuwait,False,away,BUY,0.4114,0.1717,0.2397,0.0,-0.1717
M2 NegBin+DC,26JUN05THAKUW,Thailand vs Kuwait,False,home,SELL,0.3443,0.4848,-0.1405,0.0,0.4848
M2 NegBin+DC,26JUN05THAKUW,Thailand vs Kuwait,False,draw,SELL,0.2438,0.3434,-0.0996,1.0,-0.6566
M2 NegBin+DC,26JUN05THAKUW,Thailand vs Kuwait,False,away,BUY,0.4118,0.1717,0.2401,0.0,-0.1717
M3 NegBin+Frank,26JUN05THAKUW,Thailand vs Kuwait,False,home,SELL,0.3397,0.4848,-0.1452,0.0,0.4848
M3 NegBin+Frank,26JUN05THAKUW,Thailand vs Kuwait,False,draw,SELL,0.2491,0.3434,-0.0943,1.0,-0.6566
M3 NegBin+Frank,26JUN05THAKUW,Thailand vs Kuwait,False,away,BUY,0.4112,0.1717,0.2395,0.0,-0.1717
M5 NegBin+Frank (calib 1X2+O/U),26JUN05THAKUW,Thailand vs Kuwait,False,home,BUY,0.5763,0.4848,0.0915,0.0,-0.4848
M5 NegBin+Frank (calib 1X2+O/U),26JUN05THAKUW,Thailand vs Kuwait,False,draw,SELL,0.1942,0.3434,-0.1492,1.0,-0.6566
M5 NegBin+Frank (calib 1X2+O/U),26JUN05THAKUW,Thailand vs Kuwait,False,away,BUY,0.2295,0.1717,0.0578,0.0,-0.1717
M1 Poisson+DC,26JUN05INAOMN,Indonesia vs Oman,False,home,SELL,0.2248,0.9109,-0.686,1.0,-0.0891
M1 Poisson+DC,26JUN05INAOMN,Indonesia vs Oman,False,draw,BUY,0.3394,0.0693,0.2701,0.0,-0.0693
M1 Poisson+DC,26JUN05INAOMN,Indonesia vs Oman,False,away,BUY,0.4357,0.0198,0.4159,0.0,-0.0198
M2 NegBin+DC,26JUN05INAOMN,Indonesia vs Oman,False,home,SELL,0.225,0.9109,-0.6859,1.0,-0.0891
M2 NegBin+DC,26JUN05INAOMN,Indonesia vs Oman,False,draw,BUY,0.3398,0.0693,0.2705,0.0,-0.0693
M2 NegBin+DC,26JUN05INAOMN,Indonesia vs Oman,False,away,BUY,0.4352,0.0198,0.4154,0.0,-0.0198
M3 NegBin+Frank,26JUN05INAOMN,Indonesia vs Oman,False,home,SELL,0.2208,0.9109,-0.6901,1.0,-0.0891
M3 NegBin+Frank,26JUN05INAOMN,Indonesia vs Oman,False,draw,BUY,0.3479,0.0693,0.2786,0.0,-0.0693
M3 NegBin+Frank,26JUN05INAOMN,Indonesia vs Oman,False,away,BUY,0.4313,0.0198,0.4115,0.0,-0.0198
M5 NegBin+Frank (calib 1X2+O/U),26JUN05INAOMN,Indonesia vs Oman,False,home,BUY,0.9581,0.9109,0.0473,1.0,0.0891
M5 NegBin+Frank (calib 1X2+O/U),26JUN05INAOMN,Indonesia vs Oman,False,draw,SELL,0.039,0.0693,-0.0304,0.0,0.0693
M1 Poisson+DC,26JUN05TJKIND,Tajikistan vs India,False,home,SELL,0.5821,0.7745,-0.1924,1.0,-0.2255
M1 Poisson+DC,26JUN05TJKIND,Tajikistan vs India,False,draw,BUY,0.3167,0.1863,0.1304,0.0,-0.1863
M1 Poisson+DC,26JUN05TJKIND,Tajikistan vs India,False,away,BUY,0.1012,0.0392,0.062,0.0,-0.0392
M2 NegBin+DC,26JUN05TJKIND,Tajikistan vs India,False,home,SELL,0.5815,0.7745,-0.193,1.0,-0.2255
M2 NegBin+DC,26JUN05TJKIND,Tajikistan vs India,False,draw,BUY,0.3171,0.1863,0.1308,0.0,-0.1863
M2 NegBin+DC,26JUN05TJKIND,Tajikistan vs India,False,away,BUY,0.1014,0.0392,0.0622,0.0,-0.0392
M3 NegBin+Frank,26JUN05TJKIND,Tajikistan vs India,False,home,SELL,0.5994,0.7745,-0.1751,1.0,-0.2255
M3 NegBin+Frank,26JUN05TJKIND,Tajikistan vs India,False,draw,BUY,0.313,0.1863,0.1267,0.0,-0.1863
M3 NegBin+Frank,26JUN05TJKIND,Tajikistan vs India,False,away,BUY,0.0876,0.0392,0.0484,0.0,-0.0392
M5 NegBin+Frank (calib 1X2+O/U),26JUN05TJKIND,Tajikistan vs India,False,home,SELL,0.5994,0.7745,-0.1751,1.0,-0.2255
M5 NegBin+Frank (calib 1X2+O/U),26JUN05TJKIND,Tajikistan vs India,False,draw,BUY,0.313,0.1863,0.1267,0.0,-0.1863
M5 NegBin+Frank (calib 1X2+O/U),26JUN05TJKIND,Tajikistan vs India,False,away,BUY,0.0876,0.0392,0.0484,0.0,-0.0392
M1 Poisson+DC,26JUN05GEOBHR,Georgia vs Bahrain,False,home,BUY,0.7284,0.6765,0.0519,1.0,0.3235
M1 Poisson+DC,26JUN05GEOBHR,Georgia vs Bahrain,False,draw,SELL,0.1779,0.2549,-0.077,0.0,0.2549
M1 Poisson+DC,26JUN05GEOBHR,Georgia vs Bahrain,False,away,BUY,0.0937,0.0686,0.0251,0.0,-0.0686
M2 NegBin+DC,26JUN05GEOBHR,Georgia vs Bahrain,False,home,BUY,0.7267,0.6765,0.0502,1.0,0.3235
M2 NegBin+DC,26JUN05GEOBHR,Georgia vs Bahrain,False,draw,SELL,0.1786,0.2549,-0.0763,0.0,0.2549
M2 NegBin+DC,26JUN05GEOBHR,Georgia vs Bahrain,False,away,BUY,0.0947,0.0686,0.026,0.0,-0.0686
M3 NegBin+Frank,26JUN05GEOBHR,Georgia vs Bahrain,False,home,BUY,0.748,0.6765,0.0715,1.0,0.3235
M3 NegBin+Frank,26JUN05GEOBHR,Georgia vs Bahrain,False,draw,SELL,0.1674,0.2549,-0.0876,0.0,0.2549
M1 Poisson+DC,26JUN05BLRSYR,Belarus vs Syria,False,home,SELL,0.4119,0.9412,-0.5293,1.0,-0.0588
M1 Poisson+DC,26JUN05BLRSYR,Belarus vs Syria,False,draw,BUY,0.2947,0.0392,0.2555,0.0,-0.0392
M1 Poisson+DC,26JUN05BLRSYR,Belarus vs Syria,False,away,BUY,0.2934,0.0196,0.2738,0.0,-0.0196
M2 NegBin+DC,26JUN05BLRSYR,Belarus vs Syria,False,home,SELL,0.4123,0.9412,-0.5289,1.0,-0.0588
M2 NegBin+DC,26JUN05BLRSYR,Belarus vs Syria,False,draw,BUY,0.2946,0.0392,0.2554,0.0,-0.0392
M2 NegBin+DC,26JUN05BLRSYR,Belarus vs Syria,False,away,BUY,0.2931,0.0196,0.2735,0.0,-0.0196
M3 NegBin+Frank,26JUN05BLRSYR,Belarus vs Syria,False,home,SELL,0.426,0.9412,-0.5151,1.0,-0.0588
M3 NegBin+Frank,26JUN05BLRSYR,Belarus vs Syria,False,draw,BUY,0.2957,0.0392,0.2565,0.0,-0.0392
M3 NegBin+Frank,26JUN05BLRSYR,Belarus vs Syria,False,away,BUY,0.2783,0.0196,0.2587,0.0,-0.0196
M4 NegBin+Frank (calib 1X2),26JUN05BLRSYR,Belarus vs Syria,False,home,BUY,0.9847,0.9412,0.0435,1.0,0.0588
M4 NegBin+Frank (calib 1X2),26JUN05BLRSYR,Belarus vs Syria,False,draw,SELL,0.0102,0.0392,-0.0291,0.0,0.0392
M5 NegBin+Frank (calib 1X2+O/U),26JUN05BLRSYR,Belarus vs Syria,False,home,SELL,0.426,0.9412,-0.5151,1.0,-0.0588
M5 NegBin+Frank (calib 1X2+O/U),26JUN05BLRSYR,Belarus vs Syria,False,draw,BUY,0.2957,0.0392,0.2565,0.0,-0.0392
M5 NegBin+Frank (calib 1X2+O/U),26JUN05BLRSYR,Belarus vs Syria,False,away,BUY,0.2783,0.0196,0.2587,0.0,-0.0196
M1 Poisson+DC,26JUN05SVKMNE,Slovakia vs Montenegro,False,home,SELL,0.6753,0.802,-0.1267,0.0,0.802
M1 Poisson+DC,26JUN05SVKMNE,Slovakia vs Montenegro,False,draw,BUY,0.2022,0.1485,0.0537,1.0,0.8515
M1 Poisson+DC,26JUN05SVKMNE,Slovakia vs Montenegro,False,away,BUY,0.1225,0.0495,0.073,0.0,-0.0495
M2 NegBin+DC,26JUN05SVKMNE,Slovakia vs Montenegro,False,home,SELL,0.6748,0.802,-0.1272,0.0,0.802
M2 NegBin+DC,26JUN05SVKMNE,Slovakia vs Montenegro,False,draw,BUY,0.2022,0.1485,0.0537,1.0,0.8515
M2 NegBin+DC,26JUN05SVKMNE,Slovakia vs Montenegro,False,away,BUY,0.123,0.0495,0.0735,0.0,-0.0495
M3 NegBin+Frank,26JUN05SVKMNE,Slovakia vs Montenegro,False,home,SELL,0.7121,0.802,-0.0899,0.0,0.802
M3 NegBin+Frank,26JUN05SVKMNE,Slovakia vs Montenegro,False,draw,BUY,0.1839,0.1485,0.0354,1.0,0.8515
M3 NegBin+Frank,26JUN05SVKMNE,Slovakia vs Montenegro,False,away,BUY,0.104,0.0495,0.0545,0.0,-0.0495
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SVKMNE,Slovakia vs Montenegro,False,home,BUY,0.8803,0.802,0.0783,0.0,-0.802
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SVKMNE,Slovakia vs Montenegro,False,draw,SELL,0.0787,0.1485,-0.0698,1.0,-0.8515
M1 Poisson+DC,26JUN05MDABUL,Moldova vs Bulgaria,False,home,BUY,0.2305,0.049,0.1815,0.0,-0.049
M1 Poisson+DC,26JUN05MDABUL,Moldova vs Bulgaria,False,draw,BUY,0.2594,0.1863,0.0732,1.0,0.8137
M1 Poisson+DC,26JUN05MDABUL,Moldova vs Bulgaria,False,away,SELL,0.5101,0.7647,-0.2546,0.0,0.7647
M2 NegBin+DC,26JUN05MDABUL,Moldova vs Bulgaria,False,home,BUY,0.2327,0.049,0.1837,0.0,-0.049
M2 NegBin+DC,26JUN05MDABUL,Moldova vs Bulgaria,False,draw,BUY,0.2604,0.1863,0.0741,1.0,0.8137
M2 NegBin+DC,26JUN05MDABUL,Moldova vs Bulgaria,False,away,SELL,0.5069,0.7647,-0.2578,0.0,0.7647
M3 NegBin+Frank,26JUN05MDABUL,Moldova vs Bulgaria,False,home,BUY,0.2316,0.049,0.1826,0.0,-0.049
M3 NegBin+Frank,26JUN05MDABUL,Moldova vs Bulgaria,False,draw,BUY,0.2619,0.1863,0.0756,1.0,0.8137
M3 NegBin+Frank,26JUN05MDABUL,Moldova vs Bulgaria,False,away,SELL,0.5065,0.7647,-0.2582,0.0,0.7647
M5 NegBin+Frank (calib 1X2+O/U),26JUN05MDABUL,Moldova vs Bulgaria,False,draw,SELL,0.0723,0.1863,-0.114,1.0,-0.8137
