model,match_id,match,is_wc,outcome,action,model_p,implied,diff,hit,pnl
M1 Poisson+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,draw,SELL,0.2644,0.3431,-0.0788,1.0,-0.6569
M1 Poisson+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,away,BUY,0.1686,0.1471,0.0215,0.0,-0.1471
M2 NegBin+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,home,BUY,0.5664,0.5098,0.0566,0.0,-0.5098
M2 NegBin+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,draw,SELL,0.2646,0.3431,-0.0786,1.0,-0.6569
M2 NegBin+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,away,BUY,0.169,0.1471,0.022,0.0,-0.1471
M3 NegBin+Frank,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,home,BUY,0.5855,0.5098,0.0757,0.0,-0.5098
M3 NegBin+Frank,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,draw,SELL,0.2621,0.3431,-0.0811,1.0,-0.6569
M1 Poisson+DC,26MAY30SCOCUW,Scotland vs Curacao,False,home,BUY,0.8631,0.7921,0.071,1.0,0.2079
M1 Poisson+DC,26MAY30SCOCUW,Scotland vs Curacao,False,draw,SELL,0.1026,0.1782,-0.0756,0.0,0.1782
M2 NegBin+DC,26MAY30SCOCUW,Scotland vs Curacao,False,home,BUY,0.8603,0.7921,0.0682,1.0,0.2079
M2 NegBin+DC,26MAY30SCOCUW,Scotland vs Curacao,False,draw,SELL,0.1044,0.1782,-0.0738,0.0,0.1782
M3 NegBin+Frank,26MAY30SCOCUW,Scotland vs Curacao,False,home,BUY,0.8789,0.7921,0.0868,1.0,0.2079
M3 NegBin+Frank,26MAY30SCOCUW,Scotland vs Curacao,False,draw,SELL,0.0919,0.1782,-0.0863,0.0,0.1782
M1 Poisson+DC,26MAY30ZIMIND,Zimbabwe vs India,False,home,BUY,0.7511,0.5644,0.1867,1.0,0.4356
M1 Poisson+DC,26MAY30ZIMIND,Zimbabwe vs India,False,draw,SELL,0.2036,0.3168,-0.1132,0.0,0.3168
M1 Poisson+DC,26MAY30ZIMIND,Zimbabwe vs India,False,away,SELL,0.0453,0.1188,-0.0735,0.0,0.1188
M2 NegBin+DC,26MAY30ZIMIND,Zimbabwe vs India,False,home,BUY,0.7491,0.5644,0.1848,1.0,0.4356
M2 NegBin+DC,26MAY30ZIMIND,Zimbabwe vs India,False,draw,SELL,0.2051,0.3168,-0.1117,0.0,0.3168
M2 NegBin+DC,26MAY30ZIMIND,Zimbabwe vs India,False,away,SELL,0.0457,0.1188,-0.0731,0.0,0.1188
M3 NegBin+Frank,26MAY30ZIMIND,Zimbabwe vs India,False,home,BUY,0.7635,0.5644,0.1991,1.0,0.4356
M3 NegBin+Frank,26MAY30ZIMIND,Zimbabwe vs India,False,draw,SELL,0.1978,0.3168,-0.1191,0.0,0.3168
M3 NegBin+Frank,26MAY30ZIMIND,Zimbabwe vs India,False,away,SELL,0.0387,0.1188,-0.0801,0.0,0.1188
M1 Poisson+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,home,SELL,0.717,0.7647,-0.0477,1.0,-0.2353
M1 Poisson+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,draw,BUY,0.211,0.1765,0.0345,0.0,-0.1765
M2 NegBin+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,home,SELL,0.7139,0.7647,-0.0508,1.0,-0.2353
M2 NegBin+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,draw,BUY,0.213,0.1765,0.0365,0.0,-0.1765
M3 NegBin+Frank,26MAY30NGRJAM,Nigeria vs Jamaica,False,home,SELL,0.7194,0.7647,-0.0453,1.0,-0.2353
M3 NegBin+Frank,26MAY30NGRJAM,Nigeria vs Jamaica,False,draw,BUY,0.2135,0.1765,0.037,0.0,-0.1765
M3 NegBin+Frank,26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,home,BUY,0.9301,0.8932,0.0369,1.0,0.1068
M3 NegBin+Frank,26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,away,SELL,0.0153,0.0388,-0.0235,0.0,0.0388
M4 NegBin+Frank (calib 1X2),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,home,BUY,0.9458,0.8932,0.0526,1.0,0.1068
M4 NegBin+Frank (calib 1X2),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,draw,SELL,0.0338,0.068,-0.0342,0.0,0.068
M5 NegBin+Frank (calib 1X2+O/U),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,home,BUY,0.9458,0.8932,0.0526,1.0,0.1068
M5 NegBin+Frank (calib 1X2+O/U),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,draw,SELL,0.0338,0.068,-0.0342,0.0,0.068
M1 Poisson+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,home,BUY,0.6495,0.625,0.0245,1.0,0.375
M1 Poisson+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,draw,BUY,0.2741,0.2308,0.0433,0.0,-0.2308
M1 Poisson+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,away,SELL,0.0764,0.1442,-0.0678,0.0,0.1442
M2 NegBin+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,home,BUY,0.6484,0.625,0.0234,1.0,0.375
M2 NegBin+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,draw,BUY,0.2747,0.2308,0.044,0.0,-0.2308
M2 NegBin+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,away,SELL,0.0769,0.1442,-0.0674,0.0,0.1442
M3 NegBin+Frank,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,draw,BUY,0.289,0.2308,0.0583,0.0,-0.2308
M3 NegBin+Frank,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,away,SELL,0.0685,0.1442,-0.0758,0.0,0.1442
M1 Poisson+DC,26MAY30MEXAUS,Mexico vs Australia,False,home,SELL,0.3611,0.8416,-0.4804,1.0,-0.1584
M1 Poisson+DC,26MAY30MEXAUS,Mexico vs Australia,False,draw,BUY,0.3653,0.1287,0.2366,0.0,-0.1287
M1 Poisson+DC,26MAY30MEXAUS,Mexico vs Australia,False,away,BUY,0.2735,0.0297,0.2438,0.0,-0.0297
M2 NegBin+DC,26MAY30MEXAUS,Mexico vs Australia,False,home,SELL,0.361,0.8416,-0.4805,1.0,-0.1584
M2 NegBin+DC,26MAY30MEXAUS,Mexico vs Australia,False,draw,BUY,0.3654,0.1287,0.2367,0.0,-0.1287
M2 NegBin+DC,26MAY30MEXAUS,Mexico vs Australia,False,away,BUY,0.2735,0.0297,0.2438,0.0,-0.0297
M3 NegBin+Frank,26MAY30MEXAUS,Mexico vs Australia,False,home,SELL,0.3729,0.8416,-0.4687,1.0,-0.1584
M3 NegBin+Frank,26MAY30MEXAUS,Mexico vs Australia,False,draw,BUY,0.3727,0.1287,0.244,0.0,-0.1287
M3 NegBin+Frank,26MAY30MEXAUS,Mexico vs Australia,False,away,BUY,0.2544,0.0297,0.2247,0.0,-0.0297
M1 Poisson+DC,26MAY31JPNISL,Japan vs Iceland,False,home,BUY,0.8403,0.71,0.1303,1.0,0.29
M1 Poisson+DC,26MAY31JPNISL,Japan vs Iceland,False,draw,SELL,0.1151,0.22,-0.1049,0.0,0.22
M1 Poisson+DC,26MAY31JPNISL,Japan vs Iceland,False,away,SELL,0.0447,0.07,-0.0253,0.0,0.07
M2 NegBin+DC,26MAY31JPNISL,Japan vs Iceland,False,home,BUY,0.8385,0.71,0.1285,1.0,0.29
M2 NegBin+DC,26MAY31JPNISL,Japan vs Iceland,False,draw,SELL,0.1161,0.22,-0.1039,0.0,0.22
M2 NegBin+DC,26MAY31JPNISL,Japan vs Iceland,False,away,SELL,0.0454,0.07,-0.0246,0.0,0.07
M3 NegBin+Frank,26MAY31JPNISL,Japan vs Iceland,False,home,BUY,0.8621,0.71,0.1521,1.0,0.29
M3 NegBin+Frank,26MAY31JPNISL,Japan vs Iceland,False,draw,SELL,0.1003,0.22,-0.1197,0.0,0.22
M3 NegBin+Frank,26MAY31JPNISL,Japan vs Iceland,False,away,SELL,0.0376,0.07,-0.0324,0.0,0.07
M1 Poisson+DC,26MAY31SINMGL,Singapore vs Mongolia,False,home,SELL,0.8428,0.93,-0.0872,1.0,-0.07
M1 Poisson+DC,26MAY31SINMGL,Singapore vs Mongolia,False,draw,BUY,0.121,0.06,0.061,0.0,-0.06
M1 Poisson+DC,26MAY31SINMGL,Singapore vs Mongolia,False,away,BUY,0.0362,0.01,0.0262,0.0,-0.01
M2 NegBin+DC,26MAY31SINMGL,Singapore vs Mongolia,False,home,SELL,0.8427,0.93,-0.0873,1.0,-0.07
M2 NegBin+DC,26MAY31SINMGL,Singapore vs Mongolia,False,draw,BUY,0.121,0.06,0.061,0.0,-0.06
M2 NegBin+DC,26MAY31SINMGL,Singapore vs Mongolia,False,away,BUY,0.0363,0.01,0.0263,0.0,-0.01
M3 NegBin+Frank,26MAY31SINMGL,Singapore vs Mongolia,False,home,SELL,0.8663,0.93,-0.0637,1.0,-0.07
M3 NegBin+Frank,26MAY31SINMGL,Singapore vs Mongolia,False,draw,BUY,0.1055,0.06,0.0455,0.0,-0.06
M1 Poisson+DC,26MAY31SUIJOR,Switzerland vs Jordan,False,home,SELL,0.8337,0.9802,-0.1465,1.0,-0.0198
M1 Poisson+DC,26MAY31SUIJOR,Switzerland vs Jordan,False,draw,BUY,0.1093,0.0099,0.0994,0.0,-0.0099
M1 Poisson+DC,26MAY31SUIJOR,Switzerland vs Jordan,False,away,BUY,0.0571,0.0099,0.0472,0.0,-0.0099
M2 NegBin+DC,26MAY31SUIJOR,Switzerland vs Jordan,False,home,SELL,0.8309,0.9802,-0.1493,1.0,-0.0198
M2 NegBin+DC,26MAY31SUIJOR,Switzerland vs Jordan,False,draw,BUY,0.1107,0.0099,0.1008,0.0,-0.0099
M2 NegBin+DC,26MAY31SUIJOR,Switzerland vs Jordan,False,away,BUY,0.0585,0.0099,0.0486,0.0,-0.0099
M3 NegBin+Frank,26MAY31SUIJOR,Switzerland vs Jordan,False,home,SELL,0.8456,0.9802,-0.1346,1.0,-0.0198
M3 NegBin+Frank,26MAY31SUIJOR,Switzerland vs Jordan,False,draw,BUY,0.1027,0.0099,0.0928,0.0,-0.0099
M3 NegBin+Frank,26MAY31SUIJOR,Switzerland vs Jordan,False,away,BUY,0.0517,0.0099,0.0418,0.0,-0.0099
M1 Poisson+DC,26MAY31CZEKOS,Czechia vs Kosovo,False,home,SELL,0.3288,0.9208,-0.592,1.0,-0.0792
M1 Poisson+DC,26MAY31CZEKOS,Czechia vs Kosovo,False,draw,BUY,0.2817,0.0594,0.2223,0.0,-0.0594
M1 Poisson+DC,26MAY31CZEKOS,Czechia vs Kosovo,False,away,BUY,0.3894,0.0198,0.3696,0.0,-0.0198
M2 NegBin+DC,26MAY31CZEKOS,Czechia vs Kosovo,False,home,SELL,0.3303,0.9208,-0.5905,1.0,-0.0792
M2 NegBin+DC,26MAY31CZEKOS,Czechia vs Kosovo,False,draw,BUY,0.2812,0.0594,0.2218,0.0,-0.0594
M2 NegBin+DC,26MAY31CZEKOS,Czechia vs Kosovo,False,away,BUY,0.3885,0.0198,0.3687,0.0,-0.0198
M3 NegBin+Frank,26MAY31CZEKOS,Czechia vs Kosovo,False,home,SELL,0.3383,0.9208,-0.5825,1.0,-0.0792
M3 NegBin+Frank,26MAY31CZEKOS,Czechia vs Kosovo,False,draw,BUY,0.2892,0.0594,0.2298,0.0,-0.0594
M3 NegBin+Frank,26MAY31CZEKOS,Czechia vs Kosovo,False,away,BUY,0.3725,0.0198,0.3527,0.0,-0.0198
M1 Poisson+DC,26MAY31CPVSRB,Cape Verde vs Serbia,False,draw,BUY,0.3113,0.28,0.0313,0.0,-0.28
M2 NegBin+DC,26MAY31CPVSRB,Cape Verde vs Serbia,False,draw,BUY,0.3114,0.28,0.0314,0.0,-0.28
M3 NegBin+Frank,26MAY31CPVSRB,Cape Verde vs Serbia,False,draw,BUY,0.3256,0.28,0.0456,0.0,-0.28
M3 NegBin+Frank,26MAY31CPVSRB,Cape Verde vs Serbia,False,away,SELL,0.4424,0.48,-0.0376,0.0,0.48
M1 Poisson+DC,26MAY31POLUKR,Poland vs Ukraine,False,draw,SELL,0.2393,0.3173,-0.078,0.0,0.3173
M1 Poisson+DC,26MAY31POLUKR,Poland vs Ukraine,False,away,BUY,0.2598,0.1923,0.0675,1.0,0.8077
M2 NegBin+DC,26MAY31POLUKR,Poland vs Ukraine,False,draw,SELL,0.2387,0.3173,-0.0786,0.0,0.3173
M2 NegBin+DC,26MAY31POLUKR,Poland vs Ukraine,False,away,BUY,0.2602,0.1923,0.0679,1.0,0.8077
M3 NegBin+Frank,26MAY31POLUKR,Poland vs Ukraine,False,home,BUY,0.5184,0.4904,0.028,0.0,-0.4904
