match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Germany vs Ivory Coast,2026-06-20,away,BUY,0.2182,0.13,0.0882,False,-0.13,2,1
Netherlands vs Sweden,2026-06-20,home,SELL,0.6274,0.93,-0.3026,True,-0.07,5,1
Netherlands vs Sweden,2026-06-20,draw,BUY,0.2176,0.07,0.1476,False,-0.07,5,1
Netherlands vs Sweden,2026-06-20,away,BUY,0.1549,0.01,0.1449,False,-0.01,5,1
Spain vs Saudi Arabia,2026-06-21,home,SELL,0.793,0.89,-0.097,True,-0.11,4,0
Spain vs Saudi Arabia,2026-06-21,draw,BUY,0.1459,0.07,0.0759,False,-0.07,4,0
New Zealand vs Egypt,2026-06-22,home,BUY,0.2196,0.17,0.0496,False,-0.17,1,3
New Zealand vs Egypt,2026-06-22,draw,BUY,0.2852,0.24,0.0452,False,-0.24,1,3
New Zealand vs Egypt,2026-06-22,away,SELL,0.4951,0.62,-0.1249,True,-0.38,1,3
Tunisia vs Japan,2026-06-21,home,BUY,0.1465,0.11,0.0365,False,-0.11,0,4
Tunisia vs Japan,2026-06-21,draw,BUY,0.2319,0.21,0.0219,False,-0.21,0,4
Tunisia vs Japan,2026-06-21,away,SELL,0.6215,0.7,-0.0785,True,-0.3,0,4
Argentina vs Austria,2026-06-22,home,SELL,0.5691,0.69,-0.1209,True,-0.31,2,0
Argentina vs Austria,2026-06-22,draw,BUY,0.2458,0.21,0.0358,False,-0.21,2,0
Argentina vs Austria,2026-06-22,away,BUY,0.1851,0.12,0.0651,False,-0.12,2,0
France vs Iraq,2026-06-23,home,SELL,0.8191,0.96,-0.1409,True,-0.04,3,0
France vs Iraq,2026-06-23,draw,BUY,0.1279,0.04,0.0879,False,-0.04,3,0
France vs Iraq,2026-06-23,away,BUY,0.0531,0.01,0.0431,False,-0.01,3,0
Norway vs Senegal,2026-06-23,home,SELL,0.347,0.43,-0.083,True,-0.57,3,2
Norway vs Senegal,2026-06-23,away,BUY,0.3755,0.31,0.0655,False,-0.31,3,2
Colombia vs Congo DR,2026-06-24,home,SELL,0.4705,0.58,-0.1095,True,-0.42,1,0
Colombia vs Congo DR,2026-06-24,draw,SELL,0.2875,0.33,-0.0425,False,0.33,1,0
Colombia vs Congo DR,2026-06-24,away,BUY,0.242,0.1,0.142,False,-0.1,1,0
Portugal vs Uzbekistan,2026-06-23,home,SELL,0.7107,0.86,-0.1493,True,-0.14,5,0
Portugal vs Uzbekistan,2026-06-23,draw,BUY,0.1893,0.11,0.0793,False,-0.11,5,0
Portugal vs Uzbekistan,2026-06-23,away,BUY,0.1,0.05,0.05,False,-0.05,5,0
Bosnia and Herzegovina vs Qatar,2026-06-24,home,SELL,0.4208,0.81,-0.3892,True,-0.19,3,1
Bosnia and Herzegovina vs Qatar,2026-06-24,draw,BUY,0.2882,0.15,0.1382,False,-0.15,3,1
Bosnia and Herzegovina vs Qatar,2026-06-24,away,BUY,0.291,0.05,0.241,False,-0.05,3,1
Czechia vs Mexico,2026-06-25,home,BUY,0.2561,0.19,0.0661,False,-0.19,0,3
Czechia vs Mexico,2026-06-25,draw,SELL,0.2824,0.38,-0.0976,False,0.38,0,3
Morocco vs Haiti,2026-06-24,home,SELL,0.7187,0.8,-0.0813,True,-0.2,4,2
Morocco vs Haiti,2026-06-24,draw,BUY,0.1842,0.15,0.0342,False,-0.15,4,2
Morocco vs Haiti,2026-06-24,away,BUY,0.0972,0.07,0.0272,False,-0.07,4,2
South Africa vs Korea Republic,2026-06-25,home,BUY,0.2011,0.16,0.0411,True,0.84,1,0
South Africa vs Korea Republic,2026-06-25,away,SELL,0.5364,0.59,-0.0536,False,0.59,1,0
Scotland vs Brazil,2026-06-24,home,BUY,0.1684,0.09,0.0784,False,-0.09,0,3
Scotland vs Brazil,2026-06-24,draw,BUY,0.2326,0.17,0.0626,False,-0.17,0,3
