model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M4 NegBin+Frank (calib 1X2),26JUN20ECUCUW,Ecuador vs Curacao,4-2,0-0,BUY,0.0352,0.009,0.0262,0.0,-0.009
M4 NegBin+Frank (calib 1X2),26JUN20ECUCUW,Ecuador vs Curacao,5-0,0-0,BUY,0.0446,0.009,0.0356,0.0,-0.009
M4 NegBin+Frank (calib 1X2),26JUN20ECUCUW,Ecuador vs Curacao,5-1,0-0,BUY,0.0508,0.009,0.0418,0.0,-0.009
M4 NegBin+Frank (calib 1X2),26JUN20ECUCUW,Ecuador vs Curacao,6-1,0-0,BUY,0.0305,0.009,0.0215,0.0,-0.009
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,0-0,0-0,BUY,0.5847,0.1351,0.4496,1.0,0.8649
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,0-1,0-0,SELL,0.0185,0.0541,-0.0355,0.0,0.0541
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,1-0,0-0,BUY,0.2909,0.2252,0.0657,0.0,-0.2252
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,1-1,0-0,SELL,0.0131,0.0631,-0.05,0.0,0.0631
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,2-0,0-0,SELL,0.0733,0.1892,-0.1159,0.0,0.1892
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,2-1,0-0,SELL,0.0038,0.045,-0.0412,0.0,0.045
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,3-0,0-0,SELL,0.0125,0.0901,-0.0776,0.0,0.0901
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,3-1,0-0,SELL,0.0007,0.027,-0.0264,0.0,0.027
M5 NegBin+Frank (calib 1X2+O/U),26JUN20ECUCUW,Ecuador vs Curacao,4-0,0-0,SELL,0.0016,0.027,-0.0254,0.0,0.027
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,0-0,0-4,BUY,0.0822,0.0082,0.074,0.0,-0.0082
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,0-1,0-4,BUY,0.1728,0.0082,0.1646,0.0,-0.0082
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,0-3,0-4,SELL,0.1238,0.2213,-0.0975,0.0,0.2213
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,0-4,0-4,SELL,0.0658,0.1311,-0.0653,1.0,-0.8689
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,0-5,0-4,SELL,0.0288,0.0492,-0.0204,0.0,0.0492
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,1-1,0-4,BUY,0.057,0.0082,0.0488,0.0,-0.0082
M3 NegBin+Frank,26JUN21TUNJPN,Tunisia vs Japan,1-3,0-4,SELL,0.0582,0.0902,-0.032,0.0,0.0902
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,0-0,0-4,BUY,0.0718,0.0082,0.0636,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,0-1,0-4,BUY,0.1369,0.0082,0.1287,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,0-2,0-4,SELL,0.1269,0.1885,-0.0616,0.0,0.1885
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,0-3,0-4,SELL,0.0795,0.2213,-0.1418,0.0,0.2213
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,0-4,0-4,SELL,0.0389,0.1311,-0.0923,1.0,-0.8689
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,0-5,0-4,SELL,0.0158,0.0492,-0.0334,0.0,0.0492
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,1-0,0-4,BUY,0.0399,0.0082,0.0317,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,1-1,0-4,BUY,0.0867,0.0082,0.0785,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,1-3,0-4,SELL,0.0693,0.0902,-0.0209,0.0,0.0902
M4 NegBin+Frank (calib 1X2),26JUN21TUNJPN,Tunisia vs Japan,2-2,0-4,BUY,0.0352,0.0082,0.027,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,0-1,0-4,BUY,0.0389,0.0082,0.0307,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,0-2,0-4,SELL,0.0643,0.1885,-0.1242,0.0,0.1885
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,0-3,0-4,SELL,0.0692,0.2213,-0.1521,0.0,0.2213
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,0-4,0-4,SELL,0.0558,0.1311,-0.0754,1.0,-0.8689
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,1-1,0-4,BUY,0.036,0.0082,0.0278,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,1-5,0-4,BUY,0.0495,0.0246,0.0249,0.0,-0.0246
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,1-6,0-4,BUY,0.0297,0.0082,0.0215,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,2-2,0-4,BUY,0.0326,0.0082,0.0244,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,2-3,0-4,BUY,0.0425,0.0164,0.0261,0.0,-0.0164
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,2-4,0-4,BUY,0.0416,0.0082,0.0335,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN21TUNJPN,Tunisia vs Japan,2-5,0-4,BUY,0.0321,0.0082,0.0239,0.0,-0.0082
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,0-0,4-0,BUY,0.0611,0.0083,0.0528,0.0,-0.0083
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,1-0,4-0,BUY,0.1459,0.0083,0.1376,0.0,-0.0083
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,1-1,4-0,BUY,0.0487,0.0165,0.0322,0.0,-0.0165
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,2-0,4-0,BUY,0.1711,0.0083,0.1629,0.0,-0.0083
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,2-1,4-0,BUY,0.0676,0.0083,0.0594,0.0,-0.0083
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,3-0,4-0,BUY,0.1337,0.0744,0.0593,0.0,-0.0744
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,3-1,4-0,BUY,0.0626,0.0331,0.0295,0.0,-0.0331
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,4-0,4-0,SELL,0.0797,0.1736,-0.0938,1.0,-0.8264
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,5-0,4-0,SELL,0.0391,0.1983,-0.1593,0.0,0.1983
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,5-1,4-0,SELL,0.0222,0.0579,-0.0356,0.0,0.0579
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,6-0,4-0,SELL,0.0163,0.1157,-0.0994,0.0,0.1157
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,6-1,4-0,SELL,0.0096,0.0413,-0.0317,0.0,0.0413
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,7-0,4-0,SELL,0.0059,0.0496,-0.0436,0.0,0.0496
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,7-1,4-0,SELL,0.0035,0.0248,-0.0212,0.0,0.0248
M3 NegBin+Frank,26JUN21ESPKSA,Spain vs Saudi Arabia,8-0,4-0,SELL,0.0019,0.0248,-0.0229,0.0,0.0248
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,3-0,4-0,SELL,0.0191,0.0744,-0.0553,0.0,0.0744
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,4-0,4-0,SELL,0.0286,0.1736,-0.145,1.0,-0.8264
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,4-2,4-0,BUY,0.0295,0.0083,0.0212,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,5-0,4-0,SELL,0.0336,0.1983,-0.1647,0.0,0.1983
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,5-2,4-0,BUY,0.0389,0.0165,0.0224,0.0,-0.0165
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,6-0,4-0,SELL,0.0328,0.1157,-0.083,0.0,0.1157
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,6-2,4-0,BUY,0.0432,0.0083,0.0349,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,7-0,4-0,SELL,0.0275,0.0496,-0.0221,0.0,0.0496
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,7-1,4-0,BUY,0.0476,0.0248,0.0228,0.0,-0.0248
M4 NegBin+Frank (calib 1X2),26JUN21ESPKSA,Spain vs Saudi Arabia,8-1,4-0,BUY,0.0373,0.0165,0.0208,0.0,-0.0165
M5 NegBin+Frank (calib 1X2+O/U),26JUN21ESPKSA,Spain vs Saudi Arabia,2-0,4-0,BUY,0.0397,0.0083,0.0314,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN21ESPKSA,Spain vs Saudi Arabia,4-0,4-0,SELL,0.1032,0.1736,-0.0703,1.0,-0.8264
M5 NegBin+Frank (calib 1X2+O/U),26JUN21ESPKSA,Spain vs Saudi Arabia,4-1,4-0,SELL,0.0355,0.0579,-0.0224,0.0,0.0579
M5 NegBin+Frank (calib 1X2+O/U),26JUN21ESPKSA,Spain vs Saudi Arabia,5-0,4-0,SELL,0.1147,0.1983,-0.0836,0.0,0.1983
M5 NegBin+Frank (calib 1X2+O/U),26JUN21ESPKSA,Spain vs Saudi Arabia,7-0,4-0,BUY,0.0852,0.0496,0.0356,0.0,-0.0496
M5 NegBin+Frank (calib 1X2+O/U),26JUN21ESPKSA,Spain vs Saudi Arabia,8-0,4-0,BUY,0.0605,0.0248,0.0357,0.0,-0.0248
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,0-0,1-3,BUY,0.1655,0.0087,0.1568,0.0,-0.0087
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,0-1,1-3,BUY,0.2028,0.0087,0.1941,0.0,-0.0087
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,0-2,1-3,BUY,0.1238,0.0087,0.1151,0.0,-0.0087
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,0-3,1-3,BUY,0.0526,0.0087,0.044,0.0,-0.0087
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,1-0,1-3,SELL,0.0714,0.1826,-0.1112,0.0,0.1826
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,1-1,1-3,SELL,0.1091,0.2087,-0.0996,0.0,0.2087
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,1-2,1-3,SELL,0.082,0.113,-0.0311,0.0,0.113
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,2-0,1-3,SELL,0.0178,0.1043,-0.0866,0.0,0.1043
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,2-1,1-3,SELL,0.0297,0.113,-0.0833,0.0,0.113
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,2-2,1-3,SELL,0.0246,0.0522,-0.0275,0.0,0.0522
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,3-0,1-3,SELL,0.0033,0.0261,-0.0228,0.0,0.0261
M3 NegBin+Frank,26JUN21NZLEGY,New Zealand vs Egypt,3-1,1-3,SELL,0.0056,0.0261,-0.0205,0.0,0.0261
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,0-0,1-3,BUY,0.0668,0.0087,0.0581,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,0-1,1-3,BUY,0.117,0.0087,0.1083,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,0-2,1-3,BUY,0.0992,0.0087,0.0905,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,0-3,1-3,BUY,0.0574,0.0087,0.0487,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,1-0,1-3,SELL,0.0499,0.1826,-0.1327,0.0,0.1826
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,1-1,1-3,SELL,0.0998,0.2087,-0.1089,0.0,0.2087
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,1-3,1-3,BUY,0.0659,0.0348,0.0311,1.0,0.9652
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,1-4,1-3,BUY,0.0324,0.0087,0.0237,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,2-0,1-3,SELL,0.0199,0.1043,-0.0844,0.0,0.1043
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,2-1,1-3,SELL,0.0434,0.113,-0.0697,0.0,0.113
M4 NegBin+Frank (calib 1X2),26JUN21NZLEGY,New Zealand vs Egypt,3-0,1-3,SELL,0.0059,0.0261,-0.0201,0.0,0.0261
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,0-0,1-3,BUY,0.1655,0.0087,0.1568,0.0,-0.0087
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,0-1,1-3,BUY,0.2028,0.0087,0.1941,0.0,-0.0087
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,0-2,1-3,BUY,0.1238,0.0087,0.1151,0.0,-0.0087
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,0-3,1-3,BUY,0.0526,0.0087,0.044,0.0,-0.0087
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,1-0,1-3,SELL,0.0714,0.1826,-0.1112,0.0,0.1826
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,1-1,1-3,SELL,0.1091,0.2087,-0.0996,0.0,0.2087
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,1-2,1-3,SELL,0.082,0.113,-0.0311,0.0,0.113
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,2-0,1-3,SELL,0.0178,0.1043,-0.0866,0.0,0.1043
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,2-1,1-3,SELL,0.0297,0.113,-0.0833,0.0,0.113
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,2-2,1-3,SELL,0.0246,0.0522,-0.0275,0.0,0.0522
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,3-0,1-3,SELL,0.0033,0.0261,-0.0228,0.0,0.0261
M5 NegBin+Frank (calib 1X2+O/U),26JUN21NZLEGY,New Zealand vs Egypt,3-1,1-3,SELL,0.0056,0.0261,-0.0205,0.0,0.0261
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,0-0,2-0,BUY,0.2068,0.0081,0.1986,0.0,-0.0081
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,0-1,2-0,BUY,0.0735,0.0081,0.0653,0.0,-0.0081
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,1-0,2-0,BUY,0.2281,0.1951,0.0329,0.0,-0.1951
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,2-0,2-0,SELL,0.1264,0.187,-0.0606,1.0,-0.813
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,2-1,2-0,SELL,0.0709,0.1057,-0.0348,0.0,0.1057
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,3-0,2-0,SELL,0.0488,0.1138,-0.0651,0.0,0.1138
M3 NegBin+Frank,26JUN22ARGAUT,Argentina vs Austria,3-1,2-0,SELL,0.0306,0.0569,-0.0263,0.0,0.0569
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,0-0,2-0,BUY,0.0646,0.0081,0.0564,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,0-1,2-0,BUY,0.0396,0.0081,0.0314,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,1-0,2-0,SELL,0.1253,0.1951,-0.0698,0.0,0.1951
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,2-0,2-0,SELL,0.1179,0.187,-0.0691,1.0,-0.813
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,3-0,2-0,SELL,0.0748,0.1138,-0.039,0.0,0.1138
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,3-2,2-0,BUY,0.0318,0.0081,0.0236,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN22ARGAUT,Argentina vs Austria,4-1,2-0,BUY,0.0387,0.0163,0.0225,0.0,-0.0163
M5 NegBin+Frank (calib 1X2+O/U),26JUN22ARGAUT,Argentina vs Austria,0-0,2-0,BUY,0.1538,0.0081,0.1457,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN22ARGAUT,Argentina vs Austria,0-1,2-0,BUY,0.0443,0.0081,0.0362,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN22ARGAUT,Argentina vs Austria,1-0,2-0,BUY,0.227,0.1951,0.0319,0.0,-0.1951
M5 NegBin+Frank (calib 1X2+O/U),26JUN22ARGAUT,Argentina vs Austria,2-0,2-0,SELL,0.166,0.187,-0.021,1.0,-0.813
M5 NegBin+Frank (calib 1X2+O/U),26JUN22ARGAUT,Argentina vs Austria,2-1,2-0,SELL,0.0729,0.1057,-0.0328,0.0,0.1057
M5 NegBin+Frank (calib 1X2+O/U),26JUN22ARGAUT,Argentina vs Austria,3-0,2-0,SELL,0.0829,0.1138,-0.0309,0.0,0.1138
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,0-0,3-0,BUY,0.0671,0.0082,0.059,0.0,-0.0082
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,1-0,3-0,BUY,0.1525,0.1148,0.0377,0.0,-0.1148
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,1-1,3-0,BUY,0.054,0.0246,0.0294,0.0,-0.0246
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,2-0,3-0,SELL,0.1698,0.2459,-0.0761,0.0,0.2459
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,2-1,3-0,BUY,0.072,0.0492,0.0228,0.0,-0.0492
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,3-0,3-0,SELL,0.1262,0.2213,-0.0952,1.0,-0.7787
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,3-1,3-0,BUY,0.0636,0.041,0.0226,0.0,-0.041
M3 NegBin+Frank,26JUN22FRAIRQ,France vs Iraq,4-0,3-0,SELL,0.0718,0.1066,-0.0347,0.0,0.1066
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,1-0,3-0,SELL,0.0403,0.1148,-0.0745,0.0,0.1148
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,2-0,3-0,SELL,0.0855,0.2459,-0.1604,0.0,0.2459
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,2-1,3-0,SELL,0.0277,0.0492,-0.0215,0.0,0.0492
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,3-0,3-0,SELL,0.1199,0.2213,-0.1014,1.0,-0.7787
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,4-1,3-0,BUY,0.052,0.0246,0.0274,0.0,-0.0246
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,5-0,3-0,BUY,0.1053,0.0328,0.0725,0.0,-0.0328
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,5-1,3-0,BUY,0.0498,0.0082,0.0416,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,6-0,3-0,BUY,0.0745,0.0164,0.0581,0.0,-0.0164
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,6-1,3-0,BUY,0.0392,0.0082,0.031,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN22FRAIRQ,France vs Iraq,7-0,3-0,BUY,0.046,0.0082,0.0379,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN22FRAIRQ,France vs Iraq,0-0,3-0,BUY,0.0444,0.0082,0.0362,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN22FRAIRQ,France vs Iraq,2-0,3-0,SELL,0.1768,0.2459,-0.0691,0.0,0.2459
M5 NegBin+Frank (calib 1X2+O/U),26JUN22FRAIRQ,France vs Iraq,3-0,3-0,SELL,0.1648,0.2213,-0.0565,1.0,-0.7787
M5 NegBin+Frank (calib 1X2+O/U),26JUN22FRAIRQ,France vs Iraq,5-0,3-0,BUY,0.0667,0.0328,0.0339,0.0,-0.0328
M3 NegBin+Frank,26JUN22NORSEN,Norway vs Senegal,0-0,3-2,BUY,0.05,0.0082,0.0418,0.0,-0.0082
M3 NegBin+Frank,26JUN22NORSEN,Norway vs Senegal,0-1,3-2,BUY,0.0483,0.0082,0.0401,0.0,-0.0082
M3 NegBin+Frank,26JUN22NORSEN,Norway vs Senegal,1-0,3-2,SELL,0.0899,0.1885,-0.0986,0.0,0.1885
M3 NegBin+Frank,26JUN22NORSEN,Norway vs Senegal,1-1,3-2,SELL,0.0973,0.1393,-0.042,0.0,0.1393
M3 NegBin+Frank,26JUN22NORSEN,Norway vs Senegal,2-0,3-2,SELL,0.0779,0.1475,-0.0696,0.0,0.1475
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,0-0,3-2,BUY,0.0828,0.0082,0.0746,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,0-1,3-2,BUY,0.0833,0.0082,0.0751,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,0-2,3-2,BUY,0.0426,0.0082,0.0344,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,1-0,3-2,SELL,0.1038,0.1885,-0.0847,0.0,0.1885
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,1-2,3-2,BUY,0.0711,0.0492,0.0219,0.0,-0.0492
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,2-0,3-2,SELL,0.0644,0.1475,-0.0831,0.0,0.1475
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,2-1,3-2,SELL,0.0883,0.1148,-0.0264,0.0,0.1148
M4 NegBin+Frank (calib 1X2),26JUN22NORSEN,Norway vs Senegal,3-0,3-2,SELL,0.0284,0.0574,-0.029,0.0,0.0574
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,1-0,3-2,SELL,0.0115,0.1885,-0.1771,0.0,0.1885
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,1-1,3-2,SELL,0.0279,0.1393,-0.1114,0.0,0.1393
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,2-0,3-2,SELL,0.0166,0.1475,-0.131,0.0,0.1475
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,2-1,3-2,SELL,0.0419,0.1148,-0.0728,0.0,0.1148
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,2-3,3-2,BUY,0.0419,0.0164,0.0255,0.0,-0.0164
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,3-0,3-2,SELL,0.0155,0.0574,-0.0419,0.0,0.0574
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,3-2,3-2,BUY,0.0545,0.0246,0.0299,1.0,0.9754
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,3-3,3-2,BUY,0.0479,0.0082,0.0397,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,3-4,3-2,BUY,0.0315,0.0082,0.0233,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,4-2,3-2,BUY,0.043,0.0164,0.0266,0.0,-0.0164
M5 NegBin+Frank (calib 1X2+O/U),26JUN22NORSEN,Norway vs Senegal,4-3,3-2,BUY,0.0407,0.0082,0.0325,0.0,-0.0082
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,0-0,5-0,BUY,0.1045,0.008,0.0965,0.0,-0.008
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,0-1,5-0,BUY,0.0425,0.016,0.0265,0.0,-0.016
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,1-0,5-0,BUY,0.1785,0.008,0.1705,0.0,-0.008
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,1-1,5-0,BUY,0.0857,0.008,0.0777,0.0,-0.008
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,2-0,5-0,BUY,0.1496,0.008,0.1416,0.0,-0.008
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,2-1,5-0,BUY,0.0878,0.008,0.0798,0.0,-0.008
