match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Colombia vs Congo DR,2026-06-24,draw,SELL,0.2817,0.33,-0.0483,False,0.33,1,0
Colombia vs Congo DR,2026-06-24,away,BUY,0.2355,0.1,0.1355,False,-0.1,1,0
Portugal vs Uzbekistan,2026-06-23,home,SELL,0.6646,0.86,-0.1954,True,-0.14,5,0
Portugal vs Uzbekistan,2026-06-23,draw,BUY,0.2086,0.11,0.0986,False,-0.11,5,0
Portugal vs Uzbekistan,2026-06-23,away,BUY,0.1267,0.05,0.0767,False,-0.05,5,0
Bosnia and Herzegovina vs Qatar,2026-06-24,home,SELL,0.4251,0.81,-0.3849,True,-0.19,3,1
Bosnia and Herzegovina vs Qatar,2026-06-24,draw,BUY,0.2843,0.15,0.1343,False,-0.15,3,1
Bosnia and Herzegovina vs Qatar,2026-06-24,away,BUY,0.2906,0.05,0.2406,False,-0.05,3,1
Czechia vs Mexico,2026-06-25,home,BUY,0.2833,0.19,0.0933,False,-0.19,0,3
Czechia vs Mexico,2026-06-25,draw,SELL,0.2904,0.38,-0.0896,False,0.38,0,3
Czechia vs Mexico,2026-06-25,away,SELL,0.4262,0.45,-0.0238,True,-0.55,0,3
Morocco vs Haiti,2026-06-24,home,SELL,0.6953,0.8,-0.1047,True,-0.2,4,2
Morocco vs Haiti,2026-06-24,draw,BUY,0.1979,0.15,0.0479,False,-0.15,4,2
Morocco vs Haiti,2026-06-24,away,BUY,0.1069,0.07,0.0369,False,-0.07,4,2
South Africa vs Korea Republic,2026-06-25,home,BUY,0.2151,0.16,0.0551,True,0.84,1,0
South Africa vs Korea Republic,2026-06-25,away,SELL,0.5193,0.59,-0.0707,False,0.59,1,0
Scotland vs Brazil,2026-06-24,home,BUY,0.1631,0.09,0.0731,False,-0.09,0,3
Scotland vs Brazil,2026-06-24,draw,BUY,0.2213,0.17,0.0513,False,-0.17,0,3
Scotland vs Brazil,2026-06-24,away,SELL,0.6156,0.76,-0.1444,True,-0.24,0,3
Switzerland vs Canada,2026-06-24,home,BUY,0.4512,0.4,0.0512,True,0.6,2,1
Switzerland vs Canada,2026-06-24,draw,SELL,0.2854,0.32,-0.0346,False,0.32,2,1
Switzerland vs Canada,2026-06-24,away,SELL,0.2634,0.3,-0.0366,False,0.3,2,1
Curacao vs Ivory Coast,2026-06-25,home,BUY,0.112,0.07,0.042,False,-0.07,0,2
Curacao vs Ivory Coast,2026-06-25,draw,BUY,0.21,0.13,0.08,False,-0.13,0,2
Curacao vs Ivory Coast,2026-06-25,away,SELL,0.6781,0.83,-0.1519,True,-0.17,0,2
Ecuador vs Germany,2026-06-25,home,SELL,0.1777,0.2,-0.0223,True,-0.8,2,1
Ecuador vs Germany,2026-06-25,draw,BUY,0.2507,0.21,0.0407,False,-0.21,2,1
Ecuador vs Germany,2026-06-25,away,SELL,0.5716,0.62,-0.0484,False,0.62,2,1
Japan vs Sweden,2026-06-26,home,BUY,0.5258,0.39,0.1358,False,-0.39,1,1
Japan vs Sweden,2026-06-26,draw,SELL,0.2545,0.41,-0.1555,True,-0.59,1,1
Paraguay vs Australia,2026-06-26,draw,SELL,0.3051,0.42,-0.1149,True,-0.58,0,0
Paraguay vs Australia,2026-06-26,away,BUY,0.3382,0.23,0.1082,False,-0.23,0,0
Turkiye vs USA,2026-06-26,home,SELL,0.4178,0.54,-0.1222,True,-0.46,3,2
Turkiye vs USA,2026-06-26,away,BUY,0.3196,0.21,0.1096,False,-0.21,3,2
Egypt vs IR Iran,2026-06-27,home,SELL,0.3379,0.37,-0.0321,False,0.37,1,1
Egypt vs IR Iran,2026-06-27,draw,SELL,0.3196,0.36,-0.0404,True,-0.64,1,1
Egypt vs IR Iran,2026-06-27,away,BUY,0.3425,0.29,0.0525,False,-0.29,1,1
Norway vs France,2026-06-26,home,BUY,0.1731,0.13,0.0431,False,-0.13,1,4
Norway vs France,2026-06-26,draw,BUY,0.2253,0.17,0.0553,False,-0.17,1,4
Norway vs France,2026-06-26,away,SELL,0.6017,0.71,-0.1083,True,-0.29,1,4
New Zealand vs Belgium,2026-06-27,draw,BUY,0.142,0.11,0.032,False,-0.11,1,5
New Zealand vs Belgium,2026-06-27,away,SELL,0.7934,0.82,-0.0266,True,-0.18,1,5
Senegal vs Iraq,2026-06-26,home,SELL,0.6049,0.95,-0.3451,True,-0.05,5,0
Senegal vs Iraq,2026-06-26,draw,BUY,0.24,0.05,0.19,False,-0.05,5,0
Senegal vs Iraq,2026-06-26,away,BUY,0.1551,0.02,0.1351,False,-0.02,5,0
Uruguay vs Spain,2026-06-27,home,BUY,0.1758,0.15,0.0258,False,-0.15,0,1
