series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN25TURUSA,Turkiye vs USA,2026-06-26T05:00:00+00:00,2026-06-26T03:00:00+00:00,KXWCGAME-26JUN25TURUSA-TIE,Tie,0.27,0.27,3.704,0.26,0.27,no,finalized,3965799.20
KXWCGAME,KXWCGAME-26JUN25PARAUS,Paraguay vs Australia,2026-06-26T03:49:03.170000+00:00,2026-06-26T01:49:03+00:00,KXWCGAME-26JUN25PARAUS-PAR,Paraguay,0.37,0.37,2.703,0.36,0.37,no,finalized,383064.83
KXWCGAME,KXWCGAME-26JUN25PARAUS,Paraguay vs Australia,2026-06-26T03:49:03.170000+00:00,2026-06-26T01:49:03+00:00,KXWCGAME-26JUN25PARAUS-AUS,Australia,0.23,0.23,4.348,0.22,0.23,no,finalized,685083.70
KXWCGAME,KXWCGAME-26JUN25PARAUS,Paraguay vs Australia,2026-06-26T03:49:03.170000+00:00,2026-06-26T01:49:03+00:00,KXWCGAME-26JUN25PARAUS-TIE,Tie,0.42,0.42,2.381,0.42,0.43,yes,finalized,46156.03
KXWCGAME,KXWCGAME-26JUN25JPNSWE,Japan vs Sweden,2026-06-26T02:00:00+00:00,2026-06-26T00:00:00+00:00,KXWCGAME-26JUN25JPNSWE-JPN,Japan,0.39,0.39,2.564,0.38,0.39,no,finalized,5932499.73
KXWCGAME,KXWCGAME-26JUN25JPNSWE,Japan vs Sweden,2026-06-26T02:00:00+00:00,2026-06-26T00:00:00+00:00,KXWCGAME-26JUN25JPNSWE-SWE,Sweden,0.21,0.21,4.762,0.21,0.22,no,finalized,2014840.64
KXWCGAME,KXWCGAME-26JUN25JPNSWE,Japan vs Sweden,2026-06-26T02:00:00+00:00,2026-06-26T00:00:00+00:00,KXWCGAME-26JUN25JPNSWE-TIE,Tie,0.41,0.41,2.439,0.4,0.41,yes,finalized,1546525.89
KXWCGAME,KXWCGAME-26JUN25ECUGER,Ecuador vs Germany,2026-06-25T21:49:54.891000+00:00,2026-06-25T19:49:54+00:00,KXWCGAME-26JUN25ECUGER-ECU,Ecuador,0.2,0.2,5.0,0.19,0.2,yes,finalized,3264327.42
KXWCGAME,KXWCGAME-26JUN25ECUGER,Ecuador vs Germany,2026-06-25T21:49:54.891000+00:00,2026-06-25T19:49:54+00:00,KXWCGAME-26JUN25ECUGER-GER,Germany,0.62,0.62,1.613,0.61,0.62,no,finalized,2384738.19
KXWCGAME,KXWCGAME-26JUN25ECUGER,Ecuador vs Germany,2026-06-25T21:49:54.891000+00:00,2026-06-25T19:49:54+00:00,KXWCGAME-26JUN25ECUGER-TIE,Tie,0.21,0.21,4.762,0.2,0.21,no,finalized,3102561.03
